,Age,Fare,f1000,f1001
862,48.0,25.92,4.305,4.305
863,,69.56,,
864,24.0,13.0,3.611,3.611
865,42.0,13.0,4.008,4.008
866,27.0,13.86,3.71,3.71
867,31.0,50.5,4.402,4.402
868,,9.5,,
869,4.0,11.13,2.717,2.717
870,26.0,7.895,3.523,3.523
871,47.0,52.56,4.6,4.6
872,33.0,5.0,3.637,3.637
873,47.0,9.0,4.023,4.023
874,28.0,24.0,3.951,3.951
875,15.0,7.227,3.102,3.102
876,20.0,9.84,3.396,3.396
877,19.0,7.895,3.291,3.291
878,,7.895,,
879,56.0,83.2,4.938,4.938
880,25.0,26.0,3.932,3.932
881,33.0,7.895,3.71,3.71
882,22.0,10.516,3.482,3.482
883,28.0,10.5,3.65,3.65
884,25.0,7.05,3.467,3.467
885,39.0,29.12,4.223,4.223
886,27.0,13.0,3.69,3.69
887,19.0,30.0,3.893,3.893
888,,23.45,,
889,26.0,30.0,4.023,4.023
890,32.0,7.75,3.682,3.682
